ID,LabelIdx,AreaName,Experiment,Cellline,Passage,Day,Condition,LRRK2,NucMaskSum,FOXA2MaskSum,NonTH_FOXA2,TH_FOXA2,THMaskSum,FOXA2ByNuc,THByNuc,NucMaskHigh,NonTH_FOXA2byNucPerim,TH_FOXA2byNucPerim,THFragmentation,SkelTH,Nodes,Links,THPercent
PD196,13,IM5MUT_p5_d70,DAN2018_6,P3,p5,d70,PD,MUT,1751378,94070165,98322598,237975,266940,53.71208557,0.152417125,11773,13.41119011,0.03245976,0.568045254,10631,596,1378,13.92111369
PD260,1,IM5MUT_p12_d10,DAN2018_13,P3,p12,d10,PD,MUT,3653903,3720099,6123010,67412,101877,1.018116518,0.027881693,1592,3.604414532,0.039683226,0.540023754,3235,140,343,2.34375
PD261,2,IM5MUT_p12_d10,DAN2018_13,P3,p12,d10,PD,MUT,1513076,1991022,2961113,22508,35043,1.315877061,0.023160106,0,2.958255325,0.022486278,0.523613846,1035,51,127,2.298850575
PD262,3,IM5MUT_p11_d10,DAN2018_13,P3,p11,d10,PD,MUT,1366074,83896,302558,0,268,0.06141395,0.000196183,0,0.277294273,0,0.847014925,20,1,2,0
PD263,4,IM5MUT_p11_d10,DAN2018_13,P3,p11,d10,PD,MUT,1388636,897181,1817235,19912,42572,0.64608796,0.030657422,0,0.997617994,0.010931206,0.527130508,1274,60,148,0.606060606
PD264,5,IM5MUT_p11_d10,DAN2018_13,P3,p11,d10,PD,MUT,2626189,2922794,4515517,57216,77105,1.112941224,0.029360035,11,3.364984913,0.042637637,0.560197134,2700,142,344,0.943396226
PD265,6,IM5MUT_p9_d10,DAN2018_13,P3,p9,d10,PD,MUT,11270262,30780187,35773322,514859,617455,2.731097733,0.054786215,1588885,6.713982743,0.096629394,0.507821623,20320,1233,2738,7.299270073
PD334,2,IM5MUT_p7_d70,DAN2018_20,P3,p7,d70,PD,MUT,1915656,2658494,6370852,2113,3422,1.387772126,0.001786333,0,0.874245429,0.000289958,0.609000584,70,2,6,0.066401062
PD335,3,IM5MUT_p7_d70,DAN2018_20,P3,p7,d70,PD,MUT,1517908,1870823,4409913,1687,2719,1.232500916,0.001791281,0,0.809044192,0.000309498,0.618977565,64,1,3,0
PD336,4,IM5MUT_p5_d70,DAN2018_20,P3,p5,d70,PD,MUT,8394717,907377,2212219,532684,1332180,0.108089052,0.158692663,13303,0.202289263,0.048709578,0.620176703,67081,4355,9925,28.65671642
PD337,5,IM5MUT_p5_d70,DAN2018_20,P3,p5,d70,PD,MUT,3994797,1562226,3435352,416529,732717,0.391065178,0.183417831,98,0.537293918,0.065145725,0.606535675,33731,2108,4748,18.31501832
