ID,LabelIdx,AreaName,Experiment,ObjectSlide,Cellline,Replicate,Staining,Condition,Section,NucMaskSum,Tuj1MaskSum,MAP2MaskSum,THMaskSum,Tuj1ByNuc,MAP2ByNuc,THByNuc,NucMaskHigh,NucMaskAlive,THFragmentation,SkelTH,Nodes,Links,THPercent,THByTuj1,THByMap2,THByNucAlive,Tuj1ByNucAlive,MAP2ByNucAlive,NucAliveByNuc,NucDeadByNuc
12_51,4,hMO3_TOX12_Rep2_Border_6OHDA_Idx_4,TOX12,1811235,hMO3,2,181123,6OHDA,Border,10837583,32815008,14533399,1859185,3.02788989,1.341018472,0.171549782,3829886,7007697,0.491338947,94852,6054,13140,19.43430657,0.056656546,0.127924995,0.265306134,4.682709312,2.073919435,0.646610688,0.353389312
14_40,4,hMO3_TOX14_Rep2_Border_6OHDA_Idx_4,TOX14,1901192,hMO3,2,190119,6OHDA,Border,16234692,15503844,6186227,7870697,0.95498233,0.381049853,0.484807288,2429672,13805020,0.446239386,401372,24344,52397,34.7826087,0.507661003,1.272293597,0.570132966,1.123058424,0.448114309,0.850340739,0.149659261
16_30,4,hMO3_TOX16_Rep1_Center_6OHDA_Idx_4,TOX16,18112323,hMO3,1,181123,6OHDA,Center,32140022,29831206,31713922,4674706,0.928163833,0.986742386,0.145448127,19333503,12806519,0.509167849,235712,15352,32883,19.94266994,0.15670523,0.14740233,0.3650255,2.329376625,2.476388939,0.398460182,0.601539818
12_5,5,hMO1_TOX12_Rep2_Center_6OHDA_Idx_5,TOX12,1811231,hMO1,2,181123,6OHDA,Center,36461007,71202973,34507724,28085796,1.952852619,0.946428166,0.770296772,20780727,15680280,0.354421146,820009,53069,106188,59.17460317,0.394446957,0.813898825,1.791153984,4.540924843,2.200708406,0.430056142,0.569943858
16_5,5,hMO1_TOX16_Rep1_Center_6OHDA_Idx_5,TOX16,18112321,hMO1,1,181123,6OHDA,Center,24331434,23886888,22898901,11413637,0.98172956,0.941124185,0.46909019,16098797,8232637,0.381694897,424006,25746,52882,34.83586477,0.477820175,0.498436017,1.386388954,2.90148685,2.78147828,0.338353958,0.661646042
12_29,5,hMO2_TOX12_Rep2_Center_6OHDA_Idx_5,TOX12,1811233,hMO2,2,181123,6OHDA,Center,31081968,44010330,19846746,9603453,1.415944126,0.638529259,0.308971845,7761439,23320529,0.445192162,474472,27141,58771,26.67723191,0.218209066,0.483880481,0.411802537,1.88719261,0.851041844,0.750291262,0.249708738
16_18,5,hMO2_TOX16_Rep1_Border_6OHDA_Idx_5,TOX16,18112322,hMO2,1,181123,6OHDA,Border,25807138,42596975,29134201,4919381,1.65058888,1.128920262,0.190620944,15577578,10229560,0.487082216,254885,16123,34253,23.17247969,0.115486628,0.168852443,0.480898592,4.164106276,2.848040483,0.396384907,0.603615093
12_41,5,hMO3_TOX12_Rep1_Border_6OHDA_Idx_5,TOX12,1811234,hMO3,1,181123,6OHDA,Border,10164696,37989682,12658073,211812,3.737414479,1.245297744,0.020838006,1287625,8877071,0.5403471,15554,918,2304,1.650540694,0.005575514,0.016733353,0.023860573,4.279528912,1.425929003,0.873323806,0.126676194
12_52,5,hMO3_TOX12_Rep2_Center_6OHDA_Idx_5,TOX12,1811235,hMO3,2,181123,6OHDA,Center,31765056,37369568,18824300,7604897,1.176436396,0.59261032,0.239410785,20780200,10984856,0.420056051,359592,19849,43247,14.16666667,0.203505082,0.403993615,0.692307391,3.401916966,1.713659241,0.345815729,0.654184271
14_5,5,hMO3_TOX14_Rep1_Center_6OHDA_Idx_5,TOX14,1807021,hMO3,1,180702,6OHDA,Center,32677331,51130280,17289421,7529380,1.564701842,0.529095262,0.230416003,17177095,15500236,0.451114434,324237,20202,43028,28.57142857,0.147258728,0.435490581,0.485759056,3.298677517,1.115429533,0.474342167,0.525657833
16_31,5,hMO3_TOX16_Rep1_Border_6OHDA_Idx_5,TOX16,18112323,hMO3,1,181123,6OHDA,Border,9698785,39129684,21479920,2319424,4.034493393,2.214702151,0.239145831,3698251,6000534,0.505284502,113536,7772,16534,28.63834058,0.059275306,0.107981035,0.386536265,6.521033628,3.579668076,0.618689248,0.381310752
14_29,6,hMO1_TOX14_Rep2_Border_CTRL_Idx_6,TOX14,1901191,hMO1,2,190119,CTRL,Border,9399177,25178539,14286855,14650500,2.678802516,1.520011273,1.558700299,3562712,5836465,0.356345039,504339,27919,57056,90.87048832,0.581864579,1.025453118,2.510166685,4.314004967,2.447860991,0.620954898,0.379045102
